path,name,youtube_link
Brad Benner Originals - Album 01/01 Get Out Of My Car.mp3,Get Out Of My Car,https://youtu.be/w9LTuiVmfzo
Brad Benner Originals - Album 01/02 No Goodbyes.mp3,No Goodbyes,https://youtu.be/Bz_L2wlGrUs
Brad Benner Originals - Album 01/03 Until I Die.mp3,Until I Die,https://youtu.be/HlNofOqx9c4
Brad Benner Originals - Album 01/04 My Love Is Patient.mp3,My Love Is Patient,https://youtu.be/lTMnpjhZ5Ms
Brad Benner Originals - Album 01/05 I'll Take You Home.mp3,I'll Take You Home,https://youtu.be/NPkkndlHwFo
Brad Benner Originals - Album 01/06 Montana Gibson 1.mp3,Montana Gibson,https://youtu.be/2XRYF6xv5o0
Brad Benner Originals - Album 01/07 Jesus Has My Back 1.mp3,Jesus Has My Back,https://youtu.be/jn6aXpK6P2g
Brad Benner Originals - Album 02/01 Long Long While _She's So Sweet_.mp3,Long Long While "She's So Sweet",https://youtu.be/R55yggj-QLI
Brad Benner Originals - Album 02/02 Ain't No Hope.mp3,Ain't No Hope,https://youtu.be/fvyMoXkMtgw
Brad Benner Originals - Album 02/03 35 Years.mp3,35 Years,https://youtu.be/fEh7gxpFw7A
Brad Benner Originals - Album 02/04 Hitch In Her Giddy Up.mp3,Hitch In Her Giddy Up,https://youtu.be/8g_JGTPPrfs
Brad Benner Originals - Album 02/05 Indiana Lane.mp3,Indiana Lane,https://youtu.be/dGymDTl6368
Brad Benner Originals - Album 02/06 It's The Lake.mp3,It's The Lake,https://youtu.be/GuNtTDJCyYg
Brad Benner Originals - Album 02/07 Life Is Good.mp3,Life Is Good,https://youtu.be/3JN2pluA6qA
Brad Benner Originals - Album 02/08 Rock Of Ages _Scotch On The Rocks.mp3,Rock Of Ages "Scotch On The Rocks",https://youtu.be/qOtztq8BMb8
Brad Benner Originals - Album 02/09 I Can't Do Another Day.mp3,I Can't Do Another Day,https://youtu.be/0IKW9jve4uo
Brad Benner Originals - Album 02/10 Jesus Partied With Sinners.mp3,Jesus Partied With Sinners,https://youtu.be/AmNTxdgnArA
Brad Benner Originals - Album 02/11 My Little Girl - _Megan's Song_.mp3,My Little Girl - "Megan's Song",https://youtu.be/h7D7ceviuHg
Brad Benner Originals - Album 03/01 Getting My Guitars.mp3,Getting My Guitars,https://youtu.be/7QkBhsRSkeU
Brad Benner Originals - Album 03/02 Track 02.mp3,Track 02,https://youtu.be/SbzZIuBQT4w
Brad Benner Originals - Album 03/03 Track 03.mp3,Track 03,https://youtu.be/XoXKBO0nsM8
Brad Benner Originals - Album 03/04 Miss You Dad.mp3,Miss You Dad,https://youtu.be/UP17K8iE19U
Brad Benner Originals - Album 03/05 Won't Reconcile - _Abortion_.mp3,Won't Reconcile - "Abortion",https://youtu.be/YTkGF1-6694
Brad Benner Originals - Album 03/06 Never Doubt Your Love.mp3,Never Doubt Your Love,https://youtu.be/oY733lUwbn4
Brad Benner Originals - Album 03/07 Our Favorite Beach.mp3,Our Favorite Beach,https://youtu.be/rS3mNiyJews
Brad Benner Originals - Album 03/08 Delle Jean.mp3,Delle Jean,https://youtu.be/FcoCz2-Qdiw
Brad Benner Originals - Album 03/09 One Season Lover.mp3,One Season Lover,https://youtu.be/NgOqAxwQCUA
Brad Benner Originals - Album 03/10 Everybody Knows Who I Am.mp3,Everybody Knows Who I Am,https://youtu.be/5GH_bXkT-Zo
Brad Benner Originals - Album 03/11 Track 11.mp3,Track 11,https://youtu.be/VL0STXeS2CY
Brad Benner Originals - Album 04/01 Wa Cry Wa.mp3,Wa Cry Wa
Brad Benner Originals - Album 04/02 Track 02.mp3,Track 02
Brad Benner Originals - Album 04/03 Track 03.mp3,Track 03
Brad Benner Originals - Album 04/04 Can't Read Her Mind.mp3,Can't Read Her Mind
Brad Benner Originals - Album 04/05 Crazy's Easy.mp3,Crazy's Easy
Brad Benner Originals - Album 04/06 Cheryl.mp3,Cheryl
Brad Benner Originals - Album 04/07 3 Minute Song.mp3,3 Minute Song
Brad Benner Originals - Album 04/08 Wiener Dog.mp3,Wiener Dog
Brad Benner Originals - Album 04/09 Redneck Girl.mp3,Redneck Girl
Brad Benner Originals - Album 04/10 Mister Man.mp3,Mister Man
Brad Benner Originals - Album 04/11 Rail Way Man.mp3,Rail Way Man
Brad Benner Originals - Album 04/12 Won't Give Into Them.mp3,Won't Give Into Them
Brad Benner Originals - Album 04/13 Swing Swing Swing.mp3,Swing Swing Swing
Brad Benner Originals - Album 05/01 Let Me Take You There.mp3,Let Me Take You There
Brad Benner Originals - Album 05/02 Wendall Tyler.mp3,Wendall Tyler
Brad Benner Originals - Album 05/03 Mighty Fine View.mp3,Mighty Fine View
Brad Benner Originals - Album 05/04 Carolina Lover.mp3,Carolina Lover
Brad Benner Originals - Album 05/05 Stronger Than Hell.mp3,Stronger Than Hell
Brad Benner Originals - Album 05/06 Because He Cared.mp3,Because He Cared
Brad Benner Originals - Album 05/07 Wrangler Jeans.mp3,Wrangler Jeans
Brad Benner Originals - Album 05/08 Keep On Walkin Little Girl.mp3,Keep On Walkin Little Girl
Brad Benner Originals - Album 05/09 Without Me - _Don't Like This Bed.mp3,Without Me - "Don't Like This Bed"
Brad Benner Originals - Album 05/10 Don't Call Her Home.mp3,Don't Call Her Home
Brad Benner Originals - Album 05/11 Shooting Star.mp3,Shooting Star
Brad Benner Originals - Album 06/01 Honey Dew.mp3,Honey Dew
Brad Benner Originals - Album 06/02 Wasted Tears.mp3,Wasted Tears
Brad Benner Originals - Album 06/03 Ain't My Destiny.mp3,Ain't My Destiny
Brad Benner Originals - Album 06/04 Winter Sucks.mp3,Winter Sucks
Brad Benner Originals - Album 06/05 Loretta Loves Me So Let It Be.mp3,Loretta Loves Me So Let It Be
Brad Benner Originals - Album 07/01 Self Centered SOB's.mp3,Self Centered SOB's
Brad Benner Originals - Album 07/02 Lay Her Down To Rest By Daddy.mp3,Lay Her Down To Rest By Daddy
Brad Benner Originals - Album 07/03 Without You.mp3,Without You
Brad Benner Originals - Album 07/04 Bluebird.mp3,Bluebird
Brad Benner Originals - Album 07/05 Love You Up (_).mp3,Love You Up
Brad Benner Originals - Album 07/06 Untitled (__).mp3,Untitled
Brad Benner Originals - Album 08/01 Bradley James.mp3,Bradley James
Brad Benner Originals - Album 08/02 Let It Go.mp3,Let It Go
Brad Benner Originals - Album 08/03 Minnie Mouse Rear.mp3,Minnie Mouse Rear
Brad Benner Originals - Album 08/04 Losin What I Got.mp3,Losin What I Got
Brad Benner Originals - Album 08/05 Rest Of My Life.mp3,Rest Of My Life
Brad Benner Originals - Album 08/06 Love Thats Divine.mp3,Love Thats Divine
Brad Benner Originals - Album 08/07 Caribbean Bound.mp3,Caribbean Bound
Brad Benner Originals - Album 08/08 I Smoked The Number.mp3,I Smoked The Number
Brad Benner Originals - Album 08/09 Don't Call Her Home.mp3,Don't Call Her Home
